"","coef","exp(coef)","se(coef)","z","Pr(>|z|)"
"top_gene_mut",0.044746200499554,1.04576241224709,0.206599711645974,0.2165840413961,0.828532523668111
"age",0.0407654329693816,1.04160775005073,0.00872396636635326,4.67280950630511,2.97107307047054e-06
